Anio,Mes,TiendaID,CategoriaID,ValorMeta,Fuente
2024,1,1,1,13600000,CSV_Meta_Sede
2024,1,1,2,14050000,CSV_Meta_Sede
2024,1,1,3,14500000,CSV_Meta_Sede
2024,1,2,1,14450000,CSV_Meta_Sede
2024,1,2,2,14900000,CSV_Meta_Sede
2024,1,2,3,15350000,CSV_Meta_Sede
2024,2,1,1,13900000,CSV_Meta_Sede
2024,2,1,2,14350000,CSV_Meta_Sede
2024,2,1,3,14800000,CSV_Meta_Sede
2024,2,2,1,14750000,CSV_Meta_Sede
2024,2,2,2,15200000,CSV_Meta_Sede
2024,2,2,3,15650000,CSV_Meta_Sede
2024,3,1,1,14200000,CSV_Meta_Sede
2024,3,1,2,14650000,CSV_Meta_Sede
2024,3,1,3,15100000,CSV_Meta_Sede
2024,3,2,1,15050000,CSV_Meta_Sede
2024,3,2,2,15500000,CSV_Meta_Sede
2024,3,2,3,15950000,CSV_Meta_Sede
2024,4,1,1,14500000,CSV_Meta_Sede
2024,4,1,2,14950000,CSV_Meta_Sede
2024,4,1,3,15400000,CSV_Meta_Sede
2024,4,2,1,15350000,CSV_Meta_Sede
2024,4,2,2,15800000,CSV_Meta_Sede
2024,4,2,3,16250000,CSV_Meta_Sede
